order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,seller_zip_code_prefix,seller_city,seller_state,geolocation_zip_code_prefix,lat,lon,geolocation_city,geolocation_state,actual_days,delay_days,is_late
e6ce16cb79ec1d90b1da9085a6118aeb,494dded5b201313c64ed7f100595b95c,delivered,2017-05-16 19:41:10,2017-05-16 19:50:18,2017-05-18 11:40:40,2017-05-29 11:18:31,2017-06-07,1,08574b074924071f4e201e151b152b4e,001cca7ae9ae17fb1caed9dfb1094831,2017-05-22 19:50:18,99.0,30.53,ferramentas_jardim,36.0,450.0,1.0,9000.0,42.0,12.0,39.0,29156,cariacica,ES,29156.0,-20.297536576315476,-40.40086853731229,cariacica,ES,12.0,-9.0,0
e6ce16cb79ec1d90b1da9085a6118aeb,494dded5b201313c64ed7f100595b95c,delivered,2017-05-16 19:41:10,2017-05-16 19:50:18,2017-05-18 11:40:40,2017-05-29 11:18:31,2017-06-07,2,08574b074924071f4e201e151b152b4e,001cca7ae9ae17fb1caed9dfb1094831,2017-05-22 19:50:18,99.0,30.53,ferramentas_jardim,36.0,450.0,1.0,9000.0,42.0,12.0,39.0,29156,cariacica,ES,29156.0,-20.297536576315476,-40.40086853731229,cariacica,ES,12.0,-9.0,0
ecab90c9933c58908d3d6add7c6f5ae3,761df82feda9778854c6dafdaeb567e4,delivered,2018-02-25 13:50:30,2018-02-25 14:47:35,2018-02-26 22:28:50,2018-03-27 23:29:14,2018-04-13,1,c0db539123a403f670c50237d970b215,f7720c4fa8e3aba4546301ab80ea1f1b,2018-03-01 14:28:03,30.1,33.24,ferramentas_jardim,56.0,1313.0,2.0,850.0,20.0,20.0,20.0,81350,curitiba,PR,81350.0,-25.508669747227305,-49.33026677895873,curitiba,PR,30.0,-17.0,0
1790eea0b567cf50911c057cf20f90f9,52142aa69d8d0e1247ab0cada0f76023,delivered,2018-04-16 21:15:39,2018-04-16 22:10:26,2018-04-18 13:05:09,2018-05-05 12:28:34,2018-05-15,1,2d8f2be4f08788ee3bf5356af2b2ee6c,d91fb3b7d041e83b64a00a3edfb37e4f,2018-04-22 22:10:26,186.9,38.0,climatizacao,52.0,331.0,4.0,100.0,27.0,13.0,17.0,11704,praia grande,SP,11704.0,-24.026786758814687,-46.49304889148245,praia grande,SP,18.0,-10.0,0
8563039e855156e48fccee4d611a3196,5f16605299d698660e0606f7eae2d2f9,delivered,2018-02-17 15:59:46,2018-02-17 16:15:34,2018-02-20 23:03:56,2018-03-20 00:59:25,2018-03-20,1,bff2010b28e8fbcff5a9db9d3fea5ac4,955fee9216a65b617aa5c0531780ce60,2018-02-22 15:15:34,78.0,28.95,ferramentas_jardim,58.0,769.0,6.0,850.0,90.0,20.0,20.0,4782,sao paulo,SP,4782.0,-23.693985995008337,-46.70188324132953,sao paulo,SP,30.0,0.0,0
1e7aff52cdbb2451ace09d0f848c3699,ddaff536587109b89777e0353215e150,delivered,2017-05-19 18:53:40,2017-05-19 19:05:17,2017-05-22 10:16:07,2017-05-31 13:58:46,2017-06-12,1,8c591ab0ca519558779df02023177f44,a1043bafd471dff536d0c462352beb48,2017-05-25 19:05:17,119.99,34.2,ferramentas_jardim,47.0,1893.0,1.0,6050.0,20.0,20.0,20.0,37175,ilicinea,MG,37175.0,-20.944705621834668,-45.82709818233235,ilicinea,MG,11.0,-12.0,0
6ebaec694d7025e2ad4a05dba887c032,4f28355e5c17a4a42d3ce2439a1d4501,delivered,2017-05-18 13:55:47,2017-05-18 14:05:17,2017-05-19 12:01:38,2017-05-29 12:47:20,2017-06-09,1,e251ebd2858be1aa7d9b2087a6992580,001cca7ae9ae17fb1caed9dfb1094831,2017-05-24 14:05:17,139.0,14.72,ferramentas_jardim,34.0,511.0,4.0,8875.0,40.0,14.0,43.0,29156,cariacica,ES,29156.0,-20.297536576315476,-40.40086853731229,cariacica,ES,10.0,-11.0,0
ccbabeb0b02433bd0fcbac46e70339f2,c77ee2d8ba1614a4d489a44166894938,delivered,2018-02-19 20:31:09,2018-02-21 06:15:25,2018-02-22 21:04:23,2018-03-09 22:22:25,2018-03-13,1,89321f94e35fc6d7903d36f74e351d40,16090f2ca825584b5a147ab24aa30c86,2018-02-27 03:31:34,27.9,15.1,alimentos,59.0,982.0,1.0,150.0,17.0,13.0,13.0,12940,atibaia,SP,12940.0,-23.112774381969185,-46.5488845105504,atibaia,SP,18.0,-4.0,0
fdf128b3630c21adc9ca4fb8a51b68ec,a9d37ddc8ba4d9f6dbac7d8ec378cc95,delivered,2018-07-15 08:33:19,2018-07-16 14:31:10,2018-07-17 15:33:00,2018-07-24 16:41:18,2018-08-02,1,89321f94e35fc6d7903d36f74e351d40,16090f2ca825584b5a147ab24aa30c86,2018-07-18 14:31:10,27.9,18.3,alimentos,59.0,982.0,1.0,150.0,17.0,13.0,13.0,12940,atibaia,SP,12940.0,-23.112774381969185,-46.5488845105504,atibaia,SP,9.0,-9.0,0
fa516182d28f96f5f5c651026b0749ee,55e6b290205c84ddd23ddf5eb134efd4,delivered,2018-04-13 08:44:17,2018-04-13 13:30:02,2018-04-13 22:19:21,2018-04-19 20:41:45,2018-05-08,1,e932008cf0ea7c93a077dd8d7e5f49eb,fcdd820084f17e9982427971e4e9d47f,2018-04-19 13:30:02,190.0,19.41,climatizacao,60.0,3270.0,4.0,7350.0,105.0,10.0,40.0,14075,ribeirao preto,SP,14075.0,-21.152969235356927,-47.77227625506376,ribeirao preto,SP,6.0,-19.0,0
